Tail Num,Air Time
N583NW,41267
N536US,41342
N928DU,41620
N589NW,42083
N581NW,42267
N535US,42484
N547US,42640
N586NW,43027
N591NW,43305
N593NW,43361
N595NW,43371
N594NW,43373
N590NW,43396
N587NW,43835
N537US,44101
N584NW,44354
N540US,44417
N588NW,45179
N585NW,45615
N539US,46155
